date       visitors    eventtag
           (seminar)
------------------------------------------
2020-11-21  12         202011-online-tk-kan
2020-10-17  12         202010-online-tk-kan
2020-09-19  13         202009-online-tk-kan
2020-08-22  25         202008-online-tk-kan
2020-07-18  14         202007-online-tk-kan
2020-06-20  12         202006-online-tk-kan
2020-05-16  26         202005-online-tk-kan
2020-04-18  33         202004-online-tk-kan
2020-03-21  16         202003-online-tk-kan
2020-01-18  3          202001
2019-12-22  5          201912
2019-11-23  19         201911-osc-tokyo-fall
2019-10-19  5          201910
2019-09-21  3          201909
2019-08-17  5          201908
2019-07-07  12         201907-releaseparty
2019-06-15  6          201906
2019-06-01  6          201906-osc-hokkaido
2019-05-31  3          201905-meet-hokkaido
2019-05-18  5          201905
2019-04-20  5          201904
2019-03-16  5          201903
2019-02-23  12         201902-osc-tokyo-spring
2019-01-19  4          201901-bugsquash

